Name,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NOF,NOPF,NOM,NOPM,NC,LCOM,FANIN,FANOUT,is_Mega
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-admin,1019,752,167,909,556,0.146150286,0.151057693,539,1,332,12,0,195,527,0,0,0,262,5,0,262,0,0,5,0,17,3302,438,21,40,6,1,900,183,439,44,701,60,0,1,13,3700,162,6,266,0,539,332,0,-0.534490113,3,3,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-auth,93,34,17,82,47,-0.394444444,-0.394444444,26,1,23,0,1,2,26,0,0,0,26,7,7,19,0,0,11,0,0,177,17,0,3,0,1,58,11,22,4,40,2,0,0,1,313,14,0,7,26,23,0,0,-0.507936508,2,2,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-common,75,139,18,147,728,-0.167090513,-0.146611208,126,14,82,6,2,36,120,1,0,0,45,1,0,36,0,9,1,0,9,504,68,1,7,0,1,26,8,71,3,90,6,0,0,0,421,1039,1,45,0,126,82,1,-0.548888889,5,5,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-demo,110,61,19,50,123,0.235897436,0.235897436,53,1,40,0,0,13,53,0,0,0,18,1,0,18,0,0,1,0,1,249,30,2,5,0,0,85,6,31,0,35,6,0,0,0,300,18,8,18,0,53,40,0,-0.472222222,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-gateway,100,33,14,142,7,-0.366666666,-0.366666666,17,1,16,1,0,0,16,0,0,0,15,1,0,15,0,0,8,0,5,204,23,3,1,2,2,28,1,42,2,56,6,0,0,6,301,13,2,15,0,17,16,0,-0.25,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-mbg,830,13571,611,1340,841698,0.194927282,0.564546922,13014,1,11312,1,845,856,13013,0,0,0,1661,79,0,1357,304,0,79,0,1,93376,10335,5,395,0,0,17361,231,2514,163,1980,231,0,228,0,11919,80334,0,2345,0,22917,20446,76,-0.12058889,228,228,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-monitor,13,4,4,20,0,1,1,4,1,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,21,0,0,0,0,0,8,0,2,7,2,0,0,0,0,40,3,0,1,0,4,3,0,-2,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-portal,572,577,88,722,1343,0.157012145,0.167610435,393,3,248,44,0,101,349,0,0,0,190,3,0,190,0,0,1,0,17,2564,256,48,53,0,3,388,193,426,34,543,26,3,1,6,2049,87,3,194,0,404,259,1,-0.358541107,3,3,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-search,75,113,14,99,684,0.119488534,0.171075838,90,1,79,1,0,10,89,0,0,0,38,3,0,38,0,0,3,0,2,503,49,6,9,0,9,87,31,95,0,100,3,0,1,0,331,21,2,41,0,96,85,0,-0.213675214,4,4,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-admin-platform,3,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-auth,75,29,9,73,43,0.207142857,0.207142857,22,1,21,0,1,0,22,0,0,0,14,0,0,14,0,0,2,0,3,156,17,0,2,1,1,39,0,20,4,34,6,0,0,2,203,7,0,14,0,22,21,0,0.053571429,5,5,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-common\blog-cloud-common-utils,28,108,8,68,54,-0.078282827,-0.073232322,61,19,60,1,0,0,60,0,0,0,25,1,0,5,0,20,1,0,8,485,77,1,4,25,2,31,23,56,2,47,6,0,0,0,234,24,2,25,0,61,60,0,-3.916666667,4,4,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-config,4,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-eurake-server,4,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-gateway,89,26,12,108,18,0.055555557,0.055555557,21,2,16,3,0,2,18,0,0,0,8,2,2,6,0,0,6,0,0,166,24,0,2,0,1,31,2,34,1,53,5,0,0,15,212,11,1,8,2,21,16,0,-0.271212121,5,5,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-mybatis-generate,10,6,1,52,3,NaN,NaN,3,3,1,2,0,0,1,0,0,0,11,11,0,11,0,0,4,0,3,188,1,2,0,0,0,48,7,35,10,26,2,13,0,0,84,1,0,11,0,16,14,0,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-provider\blog-cloud-provider-oauth,232,22,75,49,3,0.048387097,-0.821428571,19,2,14,1,0,4,18,0,0,0,182,16,0,182,0,0,22,0,1,378,9,0,3,0,0,154,16,32,0,192,1,0,0,1,1021,62,0,182,0,19,14,0,-0.935483871,26,26,1
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-provider-api\blog-cloud-provider-oauth-api,30,3,8,0,0,-1,-1,3,0,0,0,0,3,3,0,0,0,61,4,0,61,0,0,4,0,0,80,0,0,0,0,0,45,4,4,0,61,0,0,0,0,194,8,0,61,0,3,0,0,-1,0,0,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-catalog,86,58,16,66,96,0.204882151,0.259427606,55,2,49,3,1,2,52,0,0,0,19,0,0,19,0,0,6,0,3,264,29,0,2,0,1,66,10,42,8,41,1,1,1,2,225,19,0,19,0,56,50,0,-2.090909091,13,13,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-customer,84,68,15,83,212,0.264040624,0.389285715,65,2,60,3,1,1,62,0,0,0,23,0,0,22,0,1,1,0,4,323,34,0,1,1,2,85,8,60,11,51,2,1,1,2,234,17,0,23,0,66,61,0,-2.459383754,12,12,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-eureka-server,11,3,2,4,0,1,1,3,1,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,17,0,0,0,0,0,3,1,4,2,4,0,0,0,0,17,2,0,2,0,3,3,0,-1,1,1,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-order,143,111,26,152,266,0.117606477,0.193439385,99,2,91,6,2,0,93,0,0,0,44,0,0,42,0,2,2,0,13,509,60,0,8,2,4,98,25,88,9,82,7,1,2,6,387,29,2,44,0,100,92,0,-0.323169778,29,29,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-turbine-server,5,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-zuul-server,4,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,-1,0,0,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\account-service,85,90,20,26,268,0.197788637,0.546574426,88,1,86,0,0,2,88,0,0,0,39,0,0,39,0,0,0,0,1,369,41,0,2,0,0,59,1,60,12,51,2,0,1,5,242,22,0,39,0,89,87,0,-0.208512123,15,15,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\catalog-service,32,50,9,27,59,0.312909319,0.515873014,41,1,40,0,0,1,41,0,0,0,16,0,0,16,0,0,0,0,7,168,27,0,12,0,2,25,5,25,10,23,1,0,0,2,122,8,0,16,0,41,40,0,-0.347222222,8,8,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\config-service,3,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\discovery-service,3,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\edge-service,6,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\hystrix-dashboard,3,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\inventory-service,104,111,22,63,276,0.062868128,0.297856841,107,1,101,1,0,5,106,0,0,0,45,0,0,44,0,1,0,0,17,444,50,1,1,0,1,114,21,77,14,70,3,0,1,8,306,27,1,47,0,108,102,0,-0.388579165,25,25,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\online-store-app,8,2,2,13,1,0,0,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17,1,0,0,0,2,1,0,-1,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\order-service,79,148,27,65,352,0.293470041,0.779365078,134,1,132,0,0,2,134,0,0,0,54,0,0,54,0,0,1,0,10,540,74,0,9,1,0,77,1,74,22,74,4,0,1,15,362,27,1,56,0,135,133,0,-5.69047619,9,9,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\payment-service,2,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\shopping-cart-service,92,181,28,96,312,0.402647503,0.850844526,164,2,163,0,0,1,164,0,0,0,62,1,1,61,0,0,2,0,17,674,89,0,9,2,3,110,7,108,33,94,5,0,1,16,491,29,2,66,1,165,164,0,-0.137458573,18,18,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\user-service,95,50,23,77,36,0.28409091,0.408333338,43,1,40,1,1,1,42,0,0,0,15,0,0,15,0,0,1,0,5,236,28,0,2,1,1,75,4,26,4,34,4,0,2,6,248,34,1,15,0,45,42,0,-0.44,8,8,0
E:\githubdocu\MASPro\MSoft-master\msoft-admin,241,207,72,304,95,-0.49906015,-0.49906015,70,3,59,7,3,1,63,0,0,0,51,2,0,42,0,9,1,0,24,1134,56,9,19,4,3,319,121,191,21,192,27,2,9,25,673,108,1,76,0,79,68,0,-0.680272109,23,23,1
E:\githubdocu\MASPro\MSoft-master\msoft-auth,73,19,20,77,7,-0.571428571,-0.571428571,14,1,12,0,1,1,14,0,0,0,10,0,0,7,0,3,0,0,7,128,11,0,0,0,0,36,4,25,0,37,4,0,0,2,188,13,0,10,0,14,12,0,-0.615384615,6,6,0
E:\githubdocu\MASPro\MSoft-master\msoft-blog,25,5,14,2,0,-0.714285714,-0.714285714,5,1,4,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,0,32,3,0,0,0,0,8,3,0,0,1,0,0,0,0,52,9,0,1,0,5,4,0,-0.888888889,2,2,0
E:\githubdocu\MASPro\MSoft-master\msoft-core,675,699,171,959,1184,-0.253622461,-0.241762328,363,91,288,28,29,18,338,3,0,0,298,35,17,261,7,13,23,0,223,3335,349,21,76,76,20,278,81,408,23,583,80,9,18,42,2380,3306,51,358,17,392,311,1,-0.505479322,155,155,1
E:\githubdocu\MASPro\MSoft-master\msoft-es,11,2,2,4,0,NaN,NaN,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,2,0,1,0,2,0,0,0,0,21,2,0,1,0,2,2,0,-1,1,1,0
E:\githubdocu\MASPro\MSoft-master\msoft-gateway,42,18,8,61,22,-0.2,-0.2,16,1,15,1,0,0,15,0,0,0,2,1,1,1,0,0,1,0,1,113,18,0,0,0,0,13,3,13,0,23,5,0,1,6,113,15,3,3,1,16,15,0,-5,3,3,0
E:\githubdocu\MASPro\MSoft-master\msoft-member,25,3,11,24,0,-1,-1,3,1,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,45,4,0,0,0,0,8,0,8,0,14,1,0,0,5,45,7,0,1,0,3,3,0,-0.857142857,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\api-gateway,66,27,15,50,19,0.044444445,0.044444445,23,1,20,1,0,2,22,0,0,0,7,4,2,5,0,0,4,0,0,192,18,0,1,1,1,27,8,23,1,24,3,1,1,0,208,20,1,7,2,30,27,0,-0.5625,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\business-center\back-center,1391,3345,319,2806,7183,0.203956449,0.239621468,1483,189,1173,78,25,207,1410,6,2,1,695,245,120,499,29,47,233,0,416,12797,1126,287,803,72,103,3409,853,2457,346,2196,293,5,10,19,8776,5501,41,712,120,1525,1204,42,-0.231936074,132,132,1
E:\githubdocu\MASPro\open-capacity-platform-master\inner-intergration\security-core,410,490,93,488,1990,0.02194421,0.0326842,311,86,259,29,10,13,285,0,15,0,165,55,8,157,0,0,54,0,77,3377,282,15,73,14,19,209,104,317,87,334,63,6,18,3,1979,2418,14,186,10,531,436,6,-0.282965279,48,48,1
E:\githubdocu\MASPro\open-capacity-platform-master\job-center,506,935,111,1019,1840,0.272059579,0.356032249,481,87,459,20,2,0,462,2,1,0,266,97,26,237,1,2,35,0,372,4155,375,41,197,64,60,648,216,741,112,643,118,9,3,0,2892,2171,91,271,26,502,480,11,-0.075529162,133,133,1
E:\githubdocu\MASPro\open-capacity-platform-master\monitor-center,12,3,2,8,0,1,1,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,29,2,0,0,0,0,16,0,4,1,5,0,0,0,0,27,2,0,1,0,3,3,0,-0.5,1,1,0
E:\githubdocu\MASPro\open-capacity-platform-master\new-api-gateway,74,38,11,91,26,0.361111112,0.361111112,24,2,18,2,4,0,22,0,0,0,16,4,1,15,0,0,12,0,3,212,28,0,6,1,2,31,6,41,3,47,9,0,0,7,221,9,0,16,1,24,18,0,0.009259259,3,3,0
E:\githubdocu\MASPro\open-capacity-platform-master\oauth-center,402,297,69,428,261,0.145506625,0.158401958,192,8,130,12,7,43,180,0,0,0,108,28,0,108,0,0,26,0,18,1680,102,5,46,16,4,366,27,216,65,276,26,18,5,5,1363,77,16,121,1,215,152,2,-0.347433908,9,9,1
E:\githubdocu\MASPro\open-capacity-platform-master\register-center,12,4,2,4,2,0,0,4,1,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,19,3,0,0,0,0,4,0,2,0,3,0,0,0,0,22,2,0,2,0,4,4,0,0,1,1,0
E:\githubdocu\MASPro\open-capacity-platform-master\tuning-center,7,2,1,6,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,20,0,0,1,1,0,5,2,7,1,6,2,0,0,0,33,1,0,2,1,1,1,0,0,0,0,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-common,950,934,274,1060,1027,-0.186212606,-0.166579867,591,120,413,69,27,82,523,1,2,2,596,165,65,495,8,28,182,0,187,4585,360,35,106,43,23,526,198,816,63,944,101,4,20,5,5547,4510,79,686,87,624,435,19,-0.317553348,195,195,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-discovery,4,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-eureka,3,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-gateway,40,28,8,38,27,0,0,17,1,13,3,1,0,14,0,0,0,7,6,0,7,0,0,6,0,0,127,15,0,0,2,0,28,6,18,1,19,3,0,0,0,157,5,5,7,0,23,19,0,-0.28,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-generator,22,15,6,26,15,0,0,15,10,10,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,67,5,0,0,0,0,17,0,10,0,10,0,0,0,0,105,5,0,0,0,15,10,0,-1,5,5,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-monitor,14,3,3,22,1,0,0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,14,3,0,0,0,0,0,0,0,42,2,0,0,0,3,2,0,-1,1,1,0
