Name,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NOF,NOPF,NOM,NOPM,NC,LCOM,FANIN,FANOUT,is_Mega
E:\githubdocu\MASPro\paascloud-master-master\paascloud-provider,2813,1844,525,2879,2660,-0.162769793,-0.156464975,1096,34,624,83,4,385,1014,0,0,0,1076,119,6,1055,3,12,121,0,92,9308,592,95,266,41,6,2347,337,1630,70,2456,169,0,2,18,11561,388,417,1080,6,1105,631,6,-0.494099115,393,393,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-provider-api,473,197,125,151,276,-0.637921727,-0.634682861,154,4,93,4,0,57,150,0,0,0,390,65,16,362,0,12,65,0,6,1336,54,2,18,4,2,316,67,149,10,445,8,0,12,2,2758,235,37,423,33,165,101,0,-93.69047619,30,30,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-zipkin,10,3,2,3,1,0,0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,2,1,0,1,0,0,0,0,32,2,0,0,0,3,2,0,-1,1,1,0
E:\githubdocu\MASPro\pig-master\pig-auth,97,29,12,146,48,0.022222223,0.022222223,23,1,20,1,2,0,22,0,0,0,8,0,0,8,0,0,8,0,9,191,16,0,2,0,3,32,3,34,5,45,4,0,0,2,229,7,3,8,0,23,20,0,-2.342857143,1,1,0
E:\githubdocu\MASPro\pig-master\pig-common,722,517,149,880,948,-0.115248165,-0.094046188,303,26,235,47,14,7,256,3,1,0,198,30,3,144,2,49,61,0,98,2673,253,9,90,29,14,296,64,528,72,560,56,2,8,41,2899,3273,23,213,3,316,243,8,-0.424551625,85,85,1
E:\githubdocu\MASPro\pig-master\pig-gateway,97,39,13,148,16,-0.25,-0.25,19,1,16,3,0,0,16,0,0,0,16,7,0,16,0,0,14,0,5,248,29,0,3,3,2,23,8,50,4,67,11,1,0,10,365,11,7,16,0,21,18,0,-0.181818182,5,5,0
E:\githubdocu\MASPro\pig-master\pig-register,209,229,28,280,105,0.336503973,0.412597721,115,4,96,16,3,0,99,0,0,0,85,33,8,73,0,4,38,0,17,969,116,12,19,12,5,161,19,171,32,174,22,0,0,1,994,24,11,85,8,115,96,1,0.087660256,32,32,1
E:\githubdocu\MASPro\pig-master\pig-upms,531,203,104,424,205,-0.297565821,-0.296969696,177,1,111,5,0,61,172,0,0,0,166,16,0,166,0,0,45,0,30,1004,116,1,9,2,1,327,23,97,5,259,11,0,0,15,1567,76,5,166,0,177,111,0,-0.661873434,71,71,1
E:\githubdocu\MASPro\pig-master\pig-visual,1149,3060,226,2630,8679,0.264330979,0.401221374,1489,96,1309,96,33,51,1394,2,1,9,728,134,31,659,32,6,127,0,881,12181,1621,94,683,124,127,1650,1160,1816,406,1625,194,23,6,96,7172,3407,155,736,31,1541,1353,24,-0.130787644,348,348,1
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-common,80,234,34,263,261,-0.054406926,-0.046787878,109,93,95,14,0,0,95,0,0,0,59,28,13,28,0,18,27,0,75,1050,101,18,42,19,14,117,147,241,62,223,36,1,1,2,831,1051,6,60,13,110,95,1,0.037037037,19,19,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-eureka,7,11,4,25,1,NaN,NaN,4,3,2,1,1,0,3,0,0,0,4,4,0,4,0,0,4,0,4,71,0,0,1,3,0,14,4,15,5,13,4,0,0,0,97,3,0,4,0,4,2,0,-1,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-hystrix-monitor,5,10,2,18,1,NaN,NaN,3,3,2,1,0,0,2,0,0,0,4,4,0,4,0,0,4,0,4,66,0,0,1,3,0,14,4,15,5,13,4,0,0,0,89,2,0,4,0,3,2,0,0,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-intermediate-service,68,118,10,159,68,0.304647438,0.3463141,74,43,67,6,0,1,68,0,0,0,21,12,1,20,0,0,10,0,26,523,76,1,14,15,4,72,29,83,26,81,12,1,0,2,396,10,17,21,1,75,68,0,0.246666667,4,4,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-mqmessage,51,48,12,73,20,0.285714286,0.285714286,27,4,19,1,0,7,26,0,0,0,26,4,0,26,0,0,4,0,4,275,12,3,6,3,0,48,6,43,12,60,9,2,0,0,255,12,4,26,0,29,21,0,-0.5,6,6,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-mqmessage-api,8,12,5,17,4,-0.75,-0.75,5,2,4,1,0,0,4,0,0,0,16,4,0,12,0,4,4,0,4,84,0,0,1,3,0,20,7,19,5,25,4,0,0,0,138,5,0,16,0,5,4,0,-0.6,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-order,99,104,24,171,92,-0.064564006,-0.045083491,68,8,40,2,0,26,66,0,0,0,33,7,0,32,0,1,5,0,10,554,41,8,8,8,0,111,29,84,23,105,18,3,0,1,464,24,7,33,0,71,43,2,-0.494408369,14,14,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-order-api,226,282,51,420,184,-0.056050571,-0.040763776,174,57,130,10,0,34,164,0,0,0,96,27,1,90,0,5,23,0,44,1436,129,12,29,29,4,251,71,229,66,271,43,6,0,3,1253,51,28,96,1,180,136,2,-1.347741703,6.25,25,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-product,46,41,10,73,22,0.13333334,0.13333334,28,4,16,2,0,10,26,0,0,0,21,4,0,21,0,0,4,0,7,223,11,2,3,4,0,33,13,49,11,61,7,0,0,0,245,10,2,21,0,28,16,0,-0.266666667,7,7,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-product-api,9,12,3,17,4,-0.5,-0.5,5,2,4,1,0,0,4,0,0,0,13,4,0,13,0,0,4,0,4,77,0,0,1,3,0,19,4,15,5,22,4,0,0,0,116,3,0,13,0,5,4,0,-0.333333333,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-user,25,38,7,27,62,0.418181818,0.418181818,31,3,30,1,0,0,30,0,0,0,11,4,0,11,0,0,4,0,4,155,7,0,1,3,0,21,4,24,5,24,4,0,0,0,156,7,0,11,0,31,30,0,-0.207792208,5,5,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-user-api,9,22,4,18,46,0.09090909,0.09090909,15,2,14,1,0,0,14,0,0,0,9,4,0,9,0,0,4,0,4,110,6,0,1,3,0,19,4,21,5,19,4,0,0,0,118,4,0,9,0,15,14,0,-0.454545455,1,1,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-basic-info-service\,110,122,13,123,196,0.261904762,0.261904762,117,1,96,0,1,20,117,0,0,0,39,2,0,34,0,5,2,0,0,610,49,0,5,0,1,137,3,166,9,159,1,1,0,0,396,12,22,39,0,118,97,1,-3.142857143,8,8,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-order-service,85,51,9,95,11,0.422222225,0.422222225,35,1,30,0,1,4,35,0,0,0,28,2,0,27,0,1,2,0,0,296,17,0,10,0,1,75,33,77,7,94,2,7,0,0,302,8,16,28,0,36,31,1,-0.172222222,9,9,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-route-service,83,27,10,65,7,0.111111111,0.111111111,24,1,20,0,1,3,24,0,0,0,25,2,2,22,0,1,2,0,0,155,10,0,3,0,0,33,0,25,2,42,1,3,0,0,260,9,6,25,2,25,21,1,-0.444444444,10,10,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-travel-service,97,60,14,83,13,0.109090909,0.109090909,44,1,39,0,1,4,44,0,0,0,43,2,0,42,0,1,2,0,0,390,16,0,11,0,0,76,36,107,5,115,2,7,0,0,334,13,15,43,0,45,40,1,-0.262937063,15,15,1
E:\githubdocu\MASPro\train-ticket-master\ts-admin-user-service,94,38,11,71,10,0.133333333,0.133333333,30,1,25,0,1,4,30,0,0,0,35,3,0,34,0,1,3,0,0,225,16,0,8,0,0,51,16,47,6,69,1,5,0,0,286,10,14,35,0,31,26,1,-4.2,11,11,0
E:\githubdocu\MASPro\train-ticket-master\ts-assurance-service,91,79,13,129,42,0.341013075,0.341013075,66,1,52,0,1,13,66,0,0,0,22,2,0,22,0,0,2,0,29,418,30,2,9,0,0,102,42,76,4,89,2,1,0,0,380,12,26,22,0,67,53,1,-0.47167756,11,11,0
E:\githubdocu\MASPro\train-ticket-master\ts-auth-service,188,71,28,205,41,-0.003703703,-0.003703703,57,1,45,3,2,7,54,0,0,0,67,20,12,51,3,1,20,0,19,395,28,0,5,3,0,93,14,73,9,110,5,1,0,2,645,24,15,67,12,58,46,0,-0.133333333,42,42,0
E:\githubdocu\MASPro\train-ticket-master\ts-basic-service,105,63,16,106,10,0.31388889,0.31388889,40,1,35,2,1,2,38,0,0,0,50,2,0,49,0,1,2,0,1,374,21,0,13,1,1,90,24,95,24,106,4,1,0,0,401,15,17,50,0,41,36,1,0.115555556,12,12,1
E:\githubdocu\MASPro\train-ticket-master\ts-cancel-service,98,77,16,133,6,0.205555558,0.205555558,43,2,35,5,1,2,38,0,0,0,60,2,0,58,0,2,2,0,12,502,38,0,29,1,1,124,48,113,16,148,7,11,0,0,434,15,37,60,0,44,36,1,-0.172222222,11,11,1
E:\githubdocu\MASPro\train-ticket-master\ts-common,34,32,15,49,32,-0.333333333,-0.333333333,19,11,10,8,1,0,11,0,0,0,8,4,0,5,0,3,3,0,12,165,15,0,2,4,1,23,1,19,5,21,3,1,0,0,167,7,9,8,0,26,17,1,-0.452380952,5,5,0
E:\githubdocu\MASPro\train-ticket-master\ts-config-service,87,51,11,88,17,0.4983165,0.4983165,45,1,36,0,1,8,45,0,0,0,17,2,0,13,0,4,2,0,0,266,19,0,5,0,0,93,20,47,3,52,1,1,0,0,259,10,15,17,0,46,37,0,-0.148484848,3,3,0
E:\githubdocu\MASPro\train-ticket-master\ts-consign-price-service,87,38,11,95,10,0.478571429,0.478571429,35,1,29,0,1,5,35,0,0,0,21,4,0,18,0,3,4,0,9,230,12,0,1,0,0,45,66,41,5,50,2,1,0,0,321,10,7,21,0,36,30,1,-0.135,16,16,0
E:\githubdocu\MASPro\train-ticket-master\ts-consign-service,97,51,13,117,20,0.14666667,0.14666667,44,1,34,0,1,9,44,0,0,0,39,2,0,36,0,3,2,0,27,323,18,0,5,0,0,103,31,56,10,90,1,5,0,0,382,12,15,39,0,45,35,1,-0.455555556,15,15,0
E:\githubdocu\MASPro\train-ticket-master\ts-contacts-service,92,70,11,131,34,0.400793652,0.400793652,58,1,46,0,1,11,58,0,0,0,19,2,0,17,0,2,2,0,25,372,29,0,10,0,1,103,33,67,6,78,2,1,0,0,344,10,20,19,0,59,47,0,-0.260714286,6,6,0
E:\githubdocu\MASPro\train-ticket-master\ts-delivery-service,26,13,5,11,11,0,0,10,1,5,0,0,5,10,0,0,0,9,2,1,8,0,0,2,0,1,53,3,0,2,1,0,7,0,3,1,10,1,0,0,0,65,5,4,9,1,10,5,0,-0.4,4,4,0
E:\githubdocu\MASPro\train-ticket-master\ts-execute-service,77,51,9,86,6,0.429166668,0.429166668,29,1,22,4,1,2,25,0,0,0,29,2,0,28,0,1,2,0,1,315,29,0,22,0,1,88,52,78,16,78,4,9,0,0,274,8,16,29,0,30,23,1,-0.179166667,9,9,0
E:\githubdocu\MASPro\train-ticket-master\ts-food-map-service,123,80,16,137,41,0.441428577,0.470000004,63,1,45,1,1,16,62,0,0,0,35,4,0,28,0,7,4,0,6,401,23,3,9,2,0,92,37,73,0,87,4,1,0,0,397,15,17,35,0,64,46,1,-0.246666667,24,24,0
E:\githubdocu\MASPro\train-ticket-master\ts-food-service,116,93,18,138,35,0.372429654,0.372429654,62,1,49,0,1,12,62,0,0,0,50,4,1,44,0,5,4,0,15,509,30,6,15,2,1,103,38,84,7,121,4,6,0,1,450,17,29,50,1,63,50,1,-0.083333333,14,14,1
E:\githubdocu\MASPro\train-ticket-master\ts-inside-payment-service,147,124,21,197,53,0.421990742,0.42939815,84,4,65,3,1,15,81,0,0,0,60,3,4,52,0,4,3,0,4,729,44,10,18,0,1,156,55,172,9,194,6,3,0,0,553,20,22,60,4,85,66,1,-0.257638889,20,20,1
E:\githubdocu\MASPro\train-ticket-master\ts-notification-service,108,58,17,129,34,2.39682543,2.39682543,52,1,44,0,1,7,52,0,0,0,63,4,1,40,0,22,4,0,1,415,24,0,1,5,0,79,0,70,4,107,2,1,0,0,374,16,10,63,1,53,45,1,-0.240575397,23,23,0
E:\githubdocu\MASPro\train-ticket-master\ts-order-other-service,137,199,18,280,209,0.404372667,0.419949491,140,1,115,0,1,24,140,0,0,0,69,2,0,64,0,5,2,0,37,1054,63,6,35,0,1,195,106,217,19,222,5,3,0,0,688,17,56,69,0,141,116,0,-0.001143791,8,8,0
E:\githubdocu\MASPro\train-ticket-master\ts-order-service,135,208,18,274,279,0.357206023,0.37252465,148,1,123,0,1,24,148,0,0,0,74,2,0,64,0,10,2,0,40,1118,69,6,35,0,1,218,114,227,19,228,5,3,0,0,694,17,56,74,0,149,124,0,0.059755863,8,8,0
E:\githubdocu\MASPro\train-ticket-master\ts-payment-service,88,40,13,90,15,0.21875,0.21875,36,1,27,0,1,8,36,0,0,0,21,2,0,16,0,5,2,0,1,217,11,0,3,0,0,51,12,32,1,44,1,1,0,0,252,12,7,21,0,37,28,1,-0.3125,21,21,0
E:\githubdocu\MASPro\train-ticket-master\ts-preserve-other-service\,168,95,29,245,11,0.120833334,0.120833334,58,1,48,8,1,1,50,0,0,0,145,4,1,144,0,0,4,0,10,751,37,0,30,1,2,127,50,160,17,245,6,12,0,0,692,28,44,145,1,59,49,1,-0.01547619,20,20,1
E:\githubdocu\MASPro\train-ticket-master\ts-preserve-service,168,94,30,244,11,0.117777779,0.117777779,57,1,47,8,1,1,49,0,0,0,148,4,1,147,0,0,4,0,10,747,36,0,30,1,2,129,46,158,17,245,6,11,0,0,686,29,44,148,1,58,48,0,-0.043678161,7,7,1
E:\githubdocu\MASPro\train-ticket-master\ts-price-service,90,58,12,114,23,0.425925927,0.425925927,50,1,40,0,1,9,50,0,0,0,26,2,0,19,0,7,2,0,14,374,19,0,6,0,0,89,40,58,0,63,2,1,0,0,362,11,13,26,0,51,41,1,-0.075757576,16,16,0
E:\githubdocu\MASPro\train-ticket-master\ts-rebook-service,123,121,21,185,38,0.272727275,0.272727275,55,2,41,11,1,2,44,0,0,0,88,2,0,87,0,1,2,0,15,698,49,0,37,0,7,120,59,187,15,200,7,5,0,0,551,20,15,88,0,56,42,1,0.05,25,25,0
E:\githubdocu\MASPro\train-ticket-master\ts-route-plan-service,102,69,17,132,10,0.266666668,0.266666668,43,1,34,5,1,3,38,0,0,0,60,2,0,60,0,0,2,0,5,491,17,14,6,0,0,57,31,141,9,166,4,10,0,0,433,16,13,60,0,44,35,1,0.020833333,15,15,0
E:\githubdocu\MASPro\train-ticket-master\ts-route-service,92,61,12,114,20,0.4375,0.4375,47,1,37,0,1,9,47,0,0,0,26,2,0,21,0,5,2,0,2,368,20,2,6,0,0,134,20,53,0,69,2,1,0,0,390,11,14,26,0,48,38,1,-0.318181818,17,17,0
E:\githubdocu\MASPro\train-ticket-master\ts-seat-service,99,51,14,98,9,0.387878789,0.387878789,34,1,29,2,1,2,32,0,0,0,32,2,0,31,0,1,2,0,1,447,14,4,5,0,1,97,24,146,19,130,3,16,0,0,367,13,27,32,0,35,30,1,0.056410256,10,10,0
E:\githubdocu\MASPro\train-ticket-master\ts-security-service,104,67,13,133,20,3.9666667,3.9666667,51,1,39,2,1,9,49,0,0,0,37,2,0,35,0,2,2,0,8,358,26,0,13,0,1,86,27,74,8,93,2,3,0,0,384,12,17,37,0,52,40,1,-0.247222222,15,15,0
E:\githubdocu\MASPro\train-ticket-master\ts-station-service,85,81,11,115,42,0.584064325,0.584064325,67,1,54,0,1,12,67,0,0,0,18,2,0,14,0,4,2,0,1,439,28,2,9,0,0,120,43,78,0,80,2,1,0,0,281,10,15,18,0,68,55,0,-0.167251462,5,5,0
E:\githubdocu\MASPro\train-ticket-master\ts-ticketinfo-service,84,34,13,59,9,0.400000002,0.400000002,29,1,26,0,1,2,29,0,0,0,33,1,0,32,0,1,1,0,0,204,9,0,0,0,0,28,2,50,2,51,1,1,0,0,243,12,2,33,0,30,27,1,0.0214,14,14,0
E:\githubdocu\MASPro\train-ticket-master\ts-train-service,80,59,11,93,17,0.475000005,0.475000005,49,1,40,0,1,8,49,0,0,0,16,2,0,14,0,2,2,0,0,335,19,0,6,0,0,76,22,61,1,62,2,1,0,0,260,10,9,16,0,50,41,0,-0.08,5,5,0
E:\githubdocu\MASPro\train-ticket-master\ts-travel2-service,163,144,24,203,68,0.449999998,0.449999998,105,2,83,6,1,15,99,0,0,0,99,2,0,87,0,12,2,0,6,951,53,3,22,0,0,200,66,234,20,259,5,6,0,0,657,23,40,99,0,106,84,0,0.031202046,6,6,1
E:\githubdocu\MASPro\train-ticket-master\ts-travel-plan-service,107,65,18,126,15,0.280555557,0.280555557,54,1,41,8,1,4,46,0,0,0,72,2,0,69,0,3,2,0,0,538,24,3,0,0,0,77,18,146,2,184,3,12,0,0,455,17,8,72,0,55,42,1,0.125490196,13,13,1
E:\githubdocu\MASPro\train-ticket-master\ts-travel-service,164,164,25,222,79,0.505299147,0.505299147,113,2,89,6,1,17,107,0,0,0,102,3,0,93,0,9,3,0,7,1035,56,5,29,1,0,210,67,248,24,277,6,5,1,0,681,23,43,107,0,116,91,0,-0.019978632,4,4,1
E:\githubdocu\MASPro\train-ticket-master\ts-user-service,103,59,13,135,21,0.041758246,0.056043959,50,1,39,1,1,9,49,0,0,0,34,3,0,33,1,0,3,0,11,336,22,0,8,0,0,90,27,64,10,90,2,2,0,0,361,12,21,34,0,51,40,0,-0.546703297,20,20,0
E:\githubdocu\MASPro\train-ticket-master\ts-verification-code-service,63,35,9,97,11,0.476190477,0.476190477,20,5,14,2,1,3,18,0,0,0,14,4,2,11,0,1,3,0,14,509,9,3,5,1,1,39,40,57,18,51,5,3,0,0,262,8,8,14,2,127,121,0,-0.292824074,5,5,0
