Name,cbo,lcom,totalFieldsQty,privateFieldsQty,comparisonsQty,stringLiteralsQty,assignmentsQty,variablesQty,modifiers,NOF,FANIN,FANOUT,is_Mega
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-admin,1019,556,262,262,40,900,439,701,162,266,3,3,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-auth,93,47,26,19,3,58,22,40,14,7,2,2,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-common,75,728,45,36,7,26,71,90,1039,45,5,5,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-demo,110,123,18,18,5,85,31,35,18,18,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-gateway,100,7,15,15,1,28,42,56,13,15,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-mbg,830,841698,1661,1357,395,17361,2514,1980,80334,2345,228,228,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-monitor,13,0,1,1,0,8,2,2,3,1,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-portal,572,1343,190,190,53,388,426,543,87,194,3,3,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-search,75,684,38,38,9,87,95,100,21,41,4,4,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-admin-platform,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-auth,75,43,14,14,2,39,20,34,7,14,5,5,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-common\blog-cloud-common-utils,28,54,25,5,4,31,56,47,24,25,4,4,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-config,4,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-eurake-server,4,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-gateway,89,18,8,6,2,31,34,53,11,8,5,5,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-mybatis-generate,10,3,11,11,0,48,35,26,1,11,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-provider\blog-cloud-provider-oauth,232,3,182,182,3,154,32,192,62,182,26,26,1
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-provider-api\blog-cloud-provider-oauth-api,30,0,61,61,0,45,4,61,8,61,0,0,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-catalog,86,96,19,19,2,66,42,41,19,19,13,13,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-customer,84,212,23,22,1,85,60,51,17,23,12,12,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-eureka-server,11,0,2,2,0,3,4,4,2,2,1,1,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-order,143,266,44,42,8,98,88,82,29,44,29,29,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-turbine-server,5,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-zuul-server,4,0,0,0,0,0,0,0,1,0,0,0,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\account-service,85,268,39,39,2,59,60,51,22,39,15,15,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\catalog-service,32,59,16,16,12,25,25,23,8,16,8,8,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\config-service,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\discovery-service,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\edge-service,6,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\hystrix-dashboard,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\inventory-service,104,276,45,44,1,114,77,70,27,47,25,25,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\online-store-app,8,1,0,0,0,7,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\order-service,79,352,54,54,9,77,74,74,27,56,9,9,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\payment-service,2,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\shopping-cart-service,92,312,62,61,9,110,108,94,29,66,18,18,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\user-service,95,36,15,15,2,75,26,34,34,15,8,8,0
E:\githubdocu\MASPro\MSoft-master\msoft-admin,241,95,51,42,19,319,191,192,108,76,23,23,1
E:\githubdocu\MASPro\MSoft-master\msoft-auth,73,7,10,7,0,36,25,37,13,10,6,6,0
E:\githubdocu\MASPro\MSoft-master\msoft-blog,25,0,1,1,0,8,0,1,9,1,2,2,0
E:\githubdocu\MASPro\MSoft-master\msoft-core,675,1184,298,261,76,278,408,583,3306,358,155,155,1
E:\githubdocu\MASPro\MSoft-master\msoft-es,11,0,1,1,0,2,1,2,2,1,1,1,0
E:\githubdocu\MASPro\MSoft-master\msoft-gateway,42,22,2,1,0,13,13,23,15,3,3,3,0
E:\githubdocu\MASPro\MSoft-master\msoft-member,25,0,1,0,0,8,8,14,7,1,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\api-gateway,66,19,7,5,1,27,23,24,20,7,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\business-center\back-center,1391,7183,695,499,803,3409,2457,2196,5501,712,132,132,1
E:\githubdocu\MASPro\open-capacity-platform-master\inner-intergration\security-core,410,1990,165,157,73,209,317,334,2418,186,48,48,1
E:\githubdocu\MASPro\open-capacity-platform-master\job-center,506,1840,266,237,197,648,741,643,2171,271,133,133,1
E:\githubdocu\MASPro\open-capacity-platform-master\monitor-center,12,0,1,1,0,16,4,5,2,1,1,1,0
E:\githubdocu\MASPro\open-capacity-platform-master\new-api-gateway,74,26,16,15,6,31,41,47,9,16,3,3,0
E:\githubdocu\MASPro\open-capacity-platform-master\oauth-center,402,261,108,108,46,366,216,276,77,121,9,9,1
E:\githubdocu\MASPro\open-capacity-platform-master\register-center,12,2,2,2,0,4,2,3,2,2,1,1,0
E:\githubdocu\MASPro\open-capacity-platform-master\tuning-center,7,0,2,1,1,5,7,6,1,2,0,0,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-common,950,1027,596,495,106,526,816,944,4510,686,195,195,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-discovery,4,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-eureka,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-gateway,40,27,7,7,0,28,18,19,5,7,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-generator,22,15,0,0,0,17,10,10,5,0,5,5,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-monitor,14,1,0,0,0,14,0,0,2,0,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-provider,2813,2660,1076,1055,266,2347,1630,2456,388,1080,393,393,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-provider-api,473,276,390,362,18,316,149,445,235,423,30,30,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-zipkin,10,1,0,0,0,0,1,1,2,0,1,1,0
E:\githubdocu\MASPro\pig-master\pig-auth,97,48,8,8,2,32,34,45,7,8,1,1,0
E:\githubdocu\MASPro\pig-master\pig-common,722,948,198,144,90,296,528,560,3273,213,85,85,1
E:\githubdocu\MASPro\pig-master\pig-gateway,97,16,16,16,3,23,50,67,11,16,5,5,0
E:\githubdocu\MASPro\pig-master\pig-register,209,105,85,73,19,161,171,174,24,85,32,32,1
E:\githubdocu\MASPro\pig-master\pig-upms,531,205,166,166,9,327,97,259,76,166,71,71,1
E:\githubdocu\MASPro\pig-master\pig-visual,1149,8679,728,659,683,1650,1816,1625,3407,736,348,348,1
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-common,80,261,59,28,42,117,241,223,1051,60,19,19,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-eureka,7,1,4,4,1,14,15,13,3,4,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-hystrix-monitor,5,1,4,4,1,14,15,13,2,4,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-intermediate-service,68,68,21,20,14,72,83,81,10,21,4,4,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-mqmessage,51,20,26,26,6,48,43,60,12,26,6,6,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-mqmessage-api,8,4,16,12,1,20,19,25,5,16,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-order,99,92,33,32,8,111,84,105,24,33,14,14,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-order-api,226,184,96,90,29,251,229,271,51,96,6.25,25,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-product,46,22,21,21,3,33,49,61,10,21,7,7,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-product-api,9,4,13,13,1,19,15,22,3,13,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-user,25,62,11,11,1,21,24,24,7,11,5,5,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-user-api,9,46,9,9,1,19,21,19,4,9,1,1,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-basic-info-service\,110,196,39,34,5,137,166,159,12,39,8,8,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-order-service,85,11,28,27,10,75,77,94,8,28,9,9,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-route-service,83,7,25,22,3,33,25,42,9,25,10,10,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-travel-service,97,13,43,42,11,76,107,115,13,43,15,15,1
E:\githubdocu\MASPro\train-ticket-master\ts-admin-user-service,94,10,35,34,8,51,47,69,10,35,11,11,0
E:\githubdocu\MASPro\train-ticket-master\ts-assurance-service,91,42,22,22,9,102,76,89,12,22,11,11,0
E:\githubdocu\MASPro\train-ticket-master\ts-auth-service,188,41,67,51,5,93,73,110,24,67,42,42,0
E:\githubdocu\MASPro\train-ticket-master\ts-basic-service,105,10,50,49,13,90,95,106,15,50,12,12,1
E:\githubdocu\MASPro\train-ticket-master\ts-cancel-service,98,6,60,58,29,124,113,148,15,60,11,11,1
E:\githubdocu\MASPro\train-ticket-master\ts-common,34,32,8,5,2,23,19,21,7,8,5,5,0
E:\githubdocu\MASPro\train-ticket-master\ts-config-service,87,17,17,13,5,93,47,52,10,17,3,3,0
E:\githubdocu\MASPro\train-ticket-master\ts-consign-price-service,87,10,21,18,1,45,41,50,10,21,16,16,0
E:\githubdocu\MASPro\train-ticket-master\ts-consign-service,97,20,39,36,5,103,56,90,12,39,15,15,0
E:\githubdocu\MASPro\train-ticket-master\ts-contacts-service,92,34,19,17,10,103,67,78,10,19,6,6,0
E:\githubdocu\MASPro\train-ticket-master\ts-delivery-service,26,11,9,8,2,7,3,10,5,9,4,4,0
E:\githubdocu\MASPro\train-ticket-master\ts-execute-service,77,6,29,28,22,88,78,78,8,29,9,9,0
E:\githubdocu\MASPro\train-ticket-master\ts-food-map-service,123,41,35,28,9,92,73,87,15,35,24,24,0
E:\githubdocu\MASPro\train-ticket-master\ts-food-service,116,35,50,44,15,103,84,121,17,50,14,14,1
E:\githubdocu\MASPro\train-ticket-master\ts-inside-payment-service,147,53,60,52,18,156,172,194,20,60,20,20,1
E:\githubdocu\MASPro\train-ticket-master\ts-notification-service,108,34,63,40,1,79,70,107,16,63,23,23,0
E:\githubdocu\MASPro\train-ticket-master\ts-order-other-service,137,209,69,64,35,195,217,222,17,69,8,8,0
E:\githubdocu\MASPro\train-ticket-master\ts-order-service,135,279,74,64,35,218,227,228,17,74,8,8,0
E:\githubdocu\MASPro\train-ticket-master\ts-payment-service,88,15,21,16,3,51,32,44,12,21,21,21,0
E:\githubdocu\MASPro\train-ticket-master\ts-preserve-other-service\,168,11,145,144,30,127,160,245,28,145,20,20,1
E:\githubdocu\MASPro\train-ticket-master\ts-preserve-service,168,11,148,147,30,129,158,245,29,148,7,7,1
E:\githubdocu\MASPro\train-ticket-master\ts-price-service,90,23,26,19,6,89,58,63,11,26,16,16,0
E:\githubdocu\MASPro\train-ticket-master\ts-rebook-service,123,38,88,87,37,120,187,200,20,88,25,25,0
E:\githubdocu\MASPro\train-ticket-master\ts-route-plan-service,102,10,60,60,6,57,141,166,16,60,15,15,0
E:\githubdocu\MASPro\train-ticket-master\ts-route-service,92,20,26,21,6,134,53,69,11,26,17,17,0
E:\githubdocu\MASPro\train-ticket-master\ts-seat-service,99,9,32,31,5,97,146,130,13,32,10,10,0
E:\githubdocu\MASPro\train-ticket-master\ts-security-service,104,20,37,35,13,86,74,93,12,37,15,15,0
E:\githubdocu\MASPro\train-ticket-master\ts-station-service,85,42,18,14,9,120,78,80,10,18,5,5,0
E:\githubdocu\MASPro\train-ticket-master\ts-ticketinfo-service,84,9,33,32,0,28,50,51,12,33,14,14,0
E:\githubdocu\MASPro\train-ticket-master\ts-train-service,80,17,16,14,6,76,61,62,10,16,5,5,0
E:\githubdocu\MASPro\train-ticket-master\ts-travel2-service,163,68,99,87,22,200,234,259,23,99,6,6,1
E:\githubdocu\MASPro\train-ticket-master\ts-travel-plan-service,107,15,72,69,0,77,146,184,17,72,13,13,1
E:\githubdocu\MASPro\train-ticket-master\ts-travel-service,164,79,102,93,29,210,248,277,23,107,4,4,1
E:\githubdocu\MASPro\train-ticket-master\ts-user-service,103,21,34,33,8,90,64,90,12,34,20,20,0
E:\githubdocu\MASPro\train-ticket-master\ts-verification-code-service,63,11,14,11,5,39,57,51,8,14,5,5,0
